location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20230115T0000,10.940246
20230115T0100,11.300245
20230115T0200,11.950245
20230115T0300,12.240245
20230115T0400,12.130245
20230115T0500,12.130245
20230115T0600,12.160245
20230115T0700,12.180245
20230115T0800,11.860246
20230115T0900,10.590245
20230115T1000,7.6402454
20230115T1100,5.650245
20230115T1200,5.1602454
20230115T1300,5.0702453
20230115T1400,4.940245
20230115T1500,5.270245
20230115T1600,5.8402452
20230115T1700,5.8502455
20230115T1800,5.1202455
20230115T1900,4.690245
20230115T2000,4.5402455
20230115T2100,4.5902452
20230115T2200,4.420245
20230115T2300,4.5202456
20230116T0000,4.2702456
20230116T0100,4.420245
20230116T0200,4.690245
20230116T0300,4.610245
20230116T0400,4.8902454
20230116T0500,4.630245
20230116T0600,3.8202453
20230116T0700,3.8602452
20230116T0800,3.5902452
20230116T0900,3.8602452
20230116T1000,3.9802456
20230116T1100,4.2702456
20230116T1200,5.0602455
20230116T1300,5.860245
20230116T1400,6.3702455
20230116T1500,6.8302455
20230116T1600,6.3102455
20230116T1700,6.000245
20230116T1800,5.900245
20230116T1900,5.500245
20230116T2000,5.5302453
20230116T2100,4.980245
20230116T2200,4.3002453
20230116T2300,3.9502454
20230117T0000,3.7702456
20230117T0100,3.3902454
20230117T0200,3.3602452
20230117T0300,3.3702455
20230117T0400,3.2602453
20230117T0500,2.4302454
20230117T0600,1.8702455
20230117T0700,1.0502454
20230117T0800,1.3402455
20230117T0900,0.8502454
20230117T1000,0.8202454
20230117T1100,1.5502454
20230117T1200,2.2802453
20230117T1300,2.6302452
20230117T1400,3.0202456
20230117T1500,2.9802456
20230117T1600,2.2602453
20230117T1700,1.5502454
20230117T1800,1.3502455
20230117T1900,1.1102455
20230117T2000,1.0102454
20230117T2100,0.7902454
20230117T2200,1.0502454
20230117T2300,1.1902454
20230118T0000,0.84024537
20230118T0100,1.0702454
20230118T0200,1.9802454
20230118T0300,2.1302454
20230118T0400,2.2602453
20230118T0500,1.9402454
20230118T0600,1.6702454
20230118T0700,1.5802454
20230118T0800,1.7602454
20230118T0900,1.5702454
20230118T1000,1.5702454
20230118T1100,1.4502454
20230118T1200,1.3802454
20230118T1300,1.5202454
20230118T1400,1.9002454
20230118T1500,1.9102454
20230118T1600,1.9402454
20230118T1700,1.5502454
20230118T1800,1.1302454
20230118T1900,0.47024542
20230118T2000,0.16024542
20230118T2100,-0.019754589
20230118T2200,-0.23975462
20230118T2300,-0.39975458
20230119T0000,-0.22975457
20230119T0100,-1.0097545
20230119T0200,-1.3797545
20230119T0300,-1.5197545
20230119T0400,-2.1597548
20230119T0500,-2.5097547
20230119T0600,-2.3097544
20230119T0700,-2.1697545
20230119T0800,-2.1897545
20230119T0900,-1.9397546
20230119T1000,-1.9697546
20230119T1100,-1.2497545
20230119T1200,-0.05975461
20230119T1300,0.5102454
20230119T1400,1.2802454
20230119T1500,1.7302454
20230119T1600,1.8202454
20230119T1700,1.4902453
20230119T1800,-0.019754589
20230119T1900,-1.0097545
20230119T2000,-1.3997546
20230119T2100,-1.9997545
20230119T2200,-2.5897546
20230119T2300,-3.1097546
20230120T0000,-3.709755
20230120T0100,-3.459755
20230120T0200,-3.5997548
20230120T0300,-3.5097547
20230120T0400,-3.4497547
20230120T0500,-3.1997547
20230120T0600,-2.9597545
20230120T0700,-2.3197546
20230120T0800,-2.2997546
20230120T0900,-2.4997544
20230120T1000,-1.0197546
20230120T1100,-0.1897546
20230120T1200,0.090245396
20230120T1300,0.8202454
20230120T1400,1.3302454
20230120T1500,1.6502454
20230120T1600,1.9902455
20230120T1700,1.6202455
20230120T1800,0.4002454
20230120T1900,-0.73975456
20230120T2000,-1.4697546
20230120T2100,-1.5697545
20230120T2200,-1.1497546
20230120T2300,-2.2697544
20230121T0000,-1.7497545
20230121T0100,-1.5197545
20230121T0200,-1.8297547
20230121T0300,-2.1997547
20230121T0400,-2.9297547
20230121T0500,-2.6897545
20230121T0600,-2.9697547
20230121T0700,-3.4897547
20230121T0800,-3.9397545
20230121T0900,-4.519755
20230121T1000,-3.8997545
20230121T1100,-2.2597547
20230121T1200,-0.7897546
20230121T1300,0.2602454
20230121T1400,1.0302454
20230121T1500,1.0702454
20230121T1600,0.5802454
20230121T1700,0.010245383
20230121T1800,-0.5897546
20230121T1900,-0.5697546
